IDFactura;NumeroFactura;IDCliente;IDVendedor;FechaFactura;SubTotal;Impuesto;Descuento;TotalFactura
166;1002521;220;5;4/1/2015;1506.96;226.04;0;1733
167;1002525;220;5;4/1/2015;1815.65;272.35;0;2088
168;1002529;38;5;5/1/2015;2086.96;313.04;0;2400
169;1002530;220;5;5/1/2015;737.39;110.61;0;848
170;1002531;204;5;5/1/2015;2130.43;319.57;0;2450
171;1002532;201;5;5/1/2015;6448.7;967.3;0;7416
172;1002533;41;3;6/1/2015;9000;1350;0;10350
173;1002534;31;5;6/1/2015;2356.52;353.48;0;2710
174;1002535;117;3;6/1/2015;7043.48;0;0;0
175;1002539;41;3;7/1/2015;3269.57;490.43;0;3760
176;1002540;201;5;8/1/2015;11384.35;1707.65;0;13092
177;1002541;194;5;8/1/2015;1787.83;268.17;0;2056
178;1002542;202;5;9/1/2015;3885.22;582.78;0;4468
179;1002543;202;5;9/1/2015;8777.39;1316.61;0;10094
180;1002544;202;5;9/1/2015;15506.09;2325.91;0;17832
181;1002545;202;5;9/1/2015;4067.83;610.17;0;4678
182;1002546;202;5;9/1/2015;99508.7;14926.3;0;114435
183;1002547;202;5;9/1/2015;16506.96;2476.04;0;18983
184;1002548;194;5;9/1/2015;3353.91;503.09;0;3857
185;1002549;135;3;11/1/2015;55606.96;8341.04;0;63948
186;1002550;135;3;11/1/2015;33391.3;5008.7;0;38400
187;1002551;221;3;11/1/2015;8886.09;1332.91;0;10219
188;1002552;222;3;11/1/2015;38801.74;5820.26;0;44622
189;1002553;134;3;11/1/2015;35003.48;5250.52;0;40254
190;1002554;221;3;11/1/2015;5518.26;0;0;0
191;1002555;143;3;11/1/2015;4608.7;691.3;0;5300
192;1002556;99;3;11/1/2015;1391.3;0;0;0
193;1002557;138;3;12/1/2015;20786.09;0;0;0
194;1002558;138;3;12/1/2015;5953.04;0;0;0
195;1002559;126;3;12/1/2015;34771.3;5215.7;0;39987
196;1002560;147;3;12/1/2015;26613.91;0;0;0
197;1002561;147;3;12/1/2015;1913.04;286.96;0;2200
198;1002562;222;3;12/1/2015;11561.74;1734.26;0;13296
199;1002563;126;3;12/1/2015;11373.91;1706.09;0;13080
200;1002564;130;3;12/1/2015;28046.96;4207.04;0;32254
201;8877;138;3;12/1/2015;26739.13;4010.87;0;30750
202;1002565;147;3;12/1/2015;28163.48;4224.52;0;32388
203;1002566;29;5;12/1/2015;1429.57;214.43;0;1644
204;1002567;202;5;12/1/2015;5634.78;845.22;0;6480
205;1002568;38;3;12/1/2015;217.39;32.61;0;250
206;1002569;31;3;12/1/2015;1465.22;219.78;0;1685
207;1002570;203;5;12/1/2015;3604.35;540.65;0;4145
208;1002571;201;5;12/1/2015;4197.39;629.61;0;4827
209;1002572;202;5;13/1/2015;39037.39;5855.61;0;44893
210;1002573;189;3;13/1/2015;20330.43;0;0;0
211;1002538;189;5;7/1/2015;20330.43;3049.57;0;23380
212;1002574;202;5;13/1/2015;22035.65;3305.35;0;25341
213;1002575;202;5;13/1/2015;2306.09;345.91;0;2652
214;1002576;202;5;13/1/2015;876.52;131.48;0;1008
215;1002537;220;5;13/1/2015;10060;1509;0;11569
216;1002522;222;3;4/1/2015;44280;6642;0;50922
217;1002577;202;5;13/1/2015;26836.52;4025.48;0;30862
218;1002578;202;5;13/1/2015;406.96;61.04;0;468
219;1002523;222;3;4/1/2015;6000;900;0;6900
220;1002524;220;5;4/1/2015;285.22;0;0;0
221;1002579;202;5;13/1/2015;6174.78;926.22;0;7101
222;1002580;202;5;13/1/2015;6440;966;0;7406
223;1002526;220;5;4/1/2015;5919.13;887.87;0;6807
224;1002527;220;5;4/1/2015;2170.43;325.57;0;2496
225;1002581;220;5;4/1/2015;1721.74;0;0;0
226;1002528;222;3;4/1/2015;1721.74;258.26;0;1980
227;1002582;41;5;13/1/2015;1939.13;290.87;0;2230
228;1002583;97;3;14/1/2015;22325.22;0;0;0
229;1002584;97;3;14/1/2015;12805.22;1920.78;0;14726
230;1002585;96;3;14/1/2015;5666.09;849.91;0;6516
231;1002586;115;3;14/1/2015;29173.91;4376.09;0;33550
232;1002587;115;3;14/1/2015;7426.09;1113.91;0;8540
233;1002588;202;5;14/1/2015;5132.17;769.83;0;5902
234;1002589;202;5;14/1/2015;8660;1299;0;9959
235;1002590;212;5;14/1/2015;3757.39;563.61;0;4321
236;1002591;230;6;15/1/2015;8040;0;0;0
237;1002592;40;3;15/1/2015;521.74;78.26;0;600
238;1002593;117;3;15/1/2015;1793.91;0;0;0
239;1002594;107;3;15/1/2015;7982.61;1197.39;0;9180
240;1002595;109;3;15/1/2015;37423.48;5613.52;0;43037
241;1002596;109;3;15/1/2015;24786.09;3717.91;0;28504
242;1002597;109;3;15/1/2015;2586.96;388.04;0;2975
243;1002598;100;3;15/1/2015;27631.3;4144.7;0;31776
244;1002599;100;3;15/1/2015;24895.65;3734.35;0;28630
245;1002600;107;3;15/1/2015;2730.43;409.57;0;3140
246;1002601;201;5;15/1/2015;2234.78;335.22;0;2570
247;1002602;194;5;15/1/2015;4250.43;637.57;0;4888
248;1002603;232;5;16/1/2015;591.3;88.7;0;680
249;1002604;202;5;16/1/2015;6361.74;954.26;0;7316
250;1002605;202;5;16/1/2015;1299.13;194.87;0;1494
251;1002606;202;5;16/1/2015;1810.43;271.57;0;2082
252;1002607;201;5;16/1/2015;1566.09;234.91;0;1801
253;1002608;95;3;16/1/2015;6643.48;996.52;0;7640
254;1002609;120;5;16/1/2015;12747.83;1912.17;0;14660
255;1002610;233;3;16/1/2015;11304.35;1695.65;0;13000
256;1002611;202;5;16/1/2015;12873.04;1930.96;0;14804
257;1002612;202;5;16/1/2015;20122.61;3018.39;0;23141
258;1002613;202;5;19/1/2015;1565.22;234.78;0;1800
259;1002614;202;5;19/1/2015;1506.09;225.91;0;1732
260;1002615;117;3;19/1/2015;16515.65;2477.35;0;18993
261;1002616;194;5;19/1/2015;7351.3;1102.7;0;8454
262;1002617;194;5;19/1/2015;1173.91;176.09;0;1350
263;8878;111;3;20/1/2015;17453.91;2618.09;0;20072
264;8879;113;3;20/1/2015;16139.13;2420.87;0;18560
265;1002619;31;5;20/1/2015;612.17;91.83;0;704
266;1002620;28;3;20/1/2015;1382.61;207.39;0;1590
267;1002621;36;3;20/1/2015;24353.91;3653.09;0;28007
268;1002622;36;3;20/1/2015;2586.96;388.04;0;2975
269;1002623;212;5;20/1/2015;1440;216;0;1656
270;1002624;38;3;20/1/2015;1132.17;169.83;0;1302
271;1002625;40;3;20/1/2015;12678.26;1901.74;0;14580
272;1002626;31;3;21/1/2015;1565.22;234.78;0;1800
273;8880;30;3;21/1/2015;19768.69;2965.31;0;22734
274;1002627;37;3;21/1/2015;19077.39;2861.61;0;21939
275;1002628;204;5;21/1/2015;857.39;128.61;0;986
276;1002629;38;3;21/1/2015;770.43;115.57;0;886
277;8881;30;3;21/1/2015;2419.13;362.87;0;2782
278;1002630;202;5;22/1/2015;24024.35;3603.65;0;27628
279;1002631;202;5;22/1/2015;766.96;115.04;0;882
280;1002632;202;5;22/1/2015;6400.87;960.13;0;7361
281;1002633;205;3;22/1/2015;5565.22;834.78;0;6400
282;1002634;202;5;22/1/2015;60.87;9.13;0;70
283;1002635;202;5;22/1/2015;167.83;25.17;0;193
284;1002636;202;5;22/1/2015;10336.52;1550.48;0;11887
285;1002637;201;5;22/1/2015;6990.43;1048.57;0;8039
286;1002638;201;5;22/1/2015;2086.96;313.04;0;2400
287;1002639;234;5;23/1/2015;13220;1983;0;15203
288;1002640;235;6;23/1/2015;956.52;143.48;0;1100
289;1002641;198;3;25/1/2015;5462.61;819.39;0;6282
290;1002642;42;3;25/1/2015;14288.7;2143.3;0;16432
291;1002643;45;3;25/1/2015;11153.04;1672.96;0;12826
292;1002644;52;3;25/1/2015;41076.52;6161.48;0;47238
293;1002645;35;3;25/1/2015;1565.22;234.78;0;1800
294;1002646;41;3;26/1/2015;12739.13;1910.87;0;14650
295;1002647;41;3;26/1/2015;2173.91;326.09;0;2500
296;1002648;39;3;26/1/2015;40996.52;6149.48;0;47146
297;1002649;39;3;26/1/2015;33505.22;5025.78;0;38531
298;1002650;36;5;26/1/2015;3584.35;537.65;0;4122
299;1002651;202;5;26/1/2015;5987.83;898.17;0;6886
300;1002652;202;5;26/1/2015;12227.83;1834.17;0;14062
301;1002653;202;5;26/1/2015;3104.35;465.65;0;3570
302;1002489;200;3;28/12/2014;6215.65;932.35;0;7148
303;1002490;200;3;28/12/2014;5941.74;891.26;0;6833
304;1002500;40;3;30/12/2014;7600;1140;0;8740
305;1002536;212;5;7/1/2015;9513.91;1427.09;0;10941
306;1002654;1;3;27/1/2015;10477.39;1571.61;0;12049
307;1002655;202;5;27/1/2015;9366.96;1405.04;0;10772
308;1002656;202;5;27/1/2015;4683.48;702.52;0;5386
309;1002657;236;5;27/1/2015;5088.7;763.3;0;5852
310;1002658;30;3;19/1/2015;600;0;0;0
311;1002659;39;3;21/1/2015;1826.09;0;0;0
312;1002660;41;3;21/1/2015;2173.91;0;0;0
313;1002661;10;3;28/1/2015;32980;4947;0;37927
314;1002662;10;3;28/1/2015;33933.04;5089.96;0;39023
315;1002663;10;3;28/1/2015;4982.61;0;0;0
316;1002664;10;3;28/1/2015;7000;1050;0;8050
317;1002665;31;5;28/1/2015;490.43;73.57;0;564
318;1002666;19;3;29/1/2015;18059.13;2708.87;0;20768
319;8888;237;3;29/1/2015;6152.17;922.83;0;7075
320;1002667;51;6;29/1/2015;4043.48;606.52;0;4650
321;1002668;238;6;29/1/2015;1160.87;174.13;0;1335
322;1002669;39;6;29/1/2015;28486.96;4273.04;0;32760
323;1002670;39;6;29/1/2015;8400;0;0;0
324;1002671;52;6;29/1/2015;27693.91;4154.09;0;31848
325;1002672;45;6;29/1/2015;12926.09;1938.91;0;14865
326;1002673;50;6;29/1/2015;15026.09;2253.91;0;17280
327;1002674;42;6;29/1/2015;10380;1557;0;11937
328;1002675;33;6;29/1/2015;11559.13;1733.87;0;13293
329;1002676;202;5;29/1/2015;18365.22;2754.78;0;21120
330;1002677;194;5;29/1/2015;2289.57;343.43;0;2633
331;1002678;203;5;29/1/2015;6542.09;0;0;0
332;1002679;203;5;29/1/2015;6219.65;0;0;0
333;1002680;203;5;29/1/2015;6646.96;997.04;0;7644
334;1002681;236;5;29/1/2015;1556.52;233.48;0;1790
335;1002682;41;6;29/1/2015;8400;1260;0;9660
336;1002683;16;3;30/1/2015;9358.26;1403.74;0;10762
337;1002684;202;5;30/1/2015;10033.04;1504.96;0;11538
338;1002685;202;5;30/1/2015;2532.17;379.83;0;2912
339;1002686;29;5;30/1/2015;3440;516;0;3956
340;1002687;202;5;1/2/2015;6207.83;931.17;0;7139
341;1002688;202;5;1/2/2015;64121.74;9618.26;0;73740
342;1002689;57;3;1/2/2015;1209.57;181.43;0;1391
343;1002690;202;5;2/2/2015;814;122.1;0;936.1
344;1002691;202;5;2/2/2015;2031.3;304.7;0;2336
345;1002692;30;3;20/1/2015;5093.91;0;0;0
346;1002693;201;5;2/2/2015;5994.78;899.22;0;6894
347;1002694;203;5;2/2/2015;5166.96;775.04;0;5942
348;1002695;194;5;2/2/2015;2500.87;375.13;0;2876
349;1002696;202;5;2/2/2015;1770.43;265.57;0;2036
350;1002697;202;5;3/2/2015;2391.3;358.7;0;2750
351;1002698;202;5;3/2/2015;2667.83;400.17;0;3068
352;8889;30;3;20/1/2015;5093.91;0;0;0
353;8890;30;3;20/1/2015;5093.91;764.09;0;5858
354;8891;30;3;20/1/2015;8841.74;1326.26;0;10168
355;1002699;204;5;3/2/2015;20051.3;3007.7;0;23059
356;1002700;204;5;3/2/2015;61452.17;0;0;0
357;1002701;204;5;3/2/2015;18203.48;2730.52;0;20934
358;1002702;204;5;3/2/2015;59626.09;8943.91;0;68570
359;1002703;204;5;3/2/2015;9739.13;1460.87;0;11200
360;1002704;53;3;3/2/2015;8926.09;1338.91;0;10265
361;1002705;220;5;3/2/2015;2155.65;323.35;0;2479
362;1002706;31;5;3/2/2015;1322.61;198.39;0;1521
363;1002707;204;5;3/2/2015;6714.78;1007.22;0;7722
364;1002708;202;5;4/2/2015;6163.48;924.52;0;7088
365;1002709;202;5;4/2/2015;6273.91;941.09;0;7215
366;1002710;204;5;4/2/2015;6699.13;1004.87;0;7704
367;1002711;148;3;4/2/2015;7991.3;1198.7;0;9190
368;1002712;202;5;4/2/2015;153.04;22.96;0;176
369;1002713;8;6;4/2/2015;2504.35;0;0;0
370;1002714;10;6;4/2/2015;7155.65;0;0;0
371;1002715;6;3;4/2/2015;11373.91;1706.09;0;13080
372;1002716;202;5;5/2/2015;1095.65;164.35;0;1260
373;1002717;202;5;5/2/2015;7078.26;1061.74;0;8140
374;1002718;202;5;5/2/2015;3549.57;532.43;0;4082
375;1002719;67;3;5/2/2015;18990.43;2848.57;0;21839
376;1002720;73;3;5/2/2015;38620.87;5793.13;0;44414
377;1002721;73;3;5/2/2015;11121.74;1668.26;0;12790
378;1002722;204;5;5/2/2015;1365.22;204.78;0;1570
379;1002723;194;5;5/2/2015;808.7;121.3;0;930
380;1002724;201;5;5/2/2015;8115.65;1217.35;0;9333
381;1002725;203;5;5/2/2015;6240;936;0;7176
382;1002726;130;3;5/2/2015;9739.13;1460.87;0;11200
383;1002727;202;5;6/2/2015;1196.52;179.48;0;1376
384;1002728;202;5;6/2/2015;1471.3;220.7;0;1692
385;1002729;201;5;6/2/2015;744.35;111.65;0;856
386;1002730;204;5;6/2/2015;3093.91;464.09;0;3558
387;1002731;68;3;6/2/2015;1869.57;280.43;0;2150
388;1002732;69;3;6/2/2015;10380.87;1557.13;0;11938
389;1002733;204;5;6/2/2015;1596.52;239.48;0;1836
390;1002734;202;5;8/2/2015;12900;1935;0;14835
391;1002735;202;5;8/2/2015;6426.96;964.04;0;7391
392;1002736;59;3;9/2/2015;16849.57;2527.43;0;19377
393;1002737;58;3;9/2/2015;13678.26;0;0;0
394;1002738;37;5;9/2/2015;9182.61;1377.39;0;10560
395;1002739;38;5;9/2/2015;258.26;38.74;0;297
396;1002740;31;5;9/2/2015;1173.91;176.09;0;1350
397;1002741;201;5;9/2/2015;9836.52;1475.48;0;11312
398;1002742;201;5;9/2/2015;396.52;59.48;0;456
399;1002743;239;3;10/2/2015;8020;1203;0;9223
400;1002744;240;5;10/2/2015;24641.74;0;0;0
401;1002745;240;5;10/2/2015;3071.3;460.7;0;3532
402;1002746;240;5;10/2/2015;16612.17;2491.83;0;19104
403;1002747;240;5;10/2/2015;3318.26;497.74;0;3816
404;1002748;240;5;10/2/2015;516.52;77.48;0;594
405;1002749;240;5;10/2/2015;4194.78;629.22;0;4824
406;1002750;202;5;11/2/2015;6201.74;930.26;0;7132
407;1002751;202;5;11/2/2015;3831.3;574.7;0;4406
408;1002752;202;5;11/2/2015;782.61;117.39;0;900
409;1002753;202;5;11/2/2015;2611.3;391.7;0;3003
410;1002754;288;3;11/2/2015;2586.96;388.04;0;2975
411;1002755;205;3;11/2/2015;20503.48;3075.52;0;23579
412;1002756;241;3;11/2/2015;2543.48;381.52;0;2925
413;1002757;29;5;11/2/2015;749.57;112.43;0;862
414;1002758;31;3;12/2/2015;931.3;139.7;0;1071
415;1002759;288;3;12/2/2015;7203.48;1080.52;0;8284
416;1002760;83;3;12/2/2015;15271.3;2290.7;0;17562
417;1002761;201;5;12/2/2015;2890.43;433.57;0;3324
418;1002762;83;3;12/2/2015;1795.65;269.35;0;2065
419;1002763;194;5;12/2/2015;2204.35;330.65;0;2535
420;1002764;94;3;13/2/2015;27847.83;4177.17;0;32025
421;1002765;93;3;13/2/2015;24524.35;3678.65;0;28203
422;1002766;92;3;13/2/2015;25003.48;0;0;0
423;1002767;135;3;13/2/2015;3043.48;456.52;0;3500
424;1002768;92;3;13/2/2015;25003.48;3750.52;0;28754
425;1002769;202;5;13/2/2015;7114.78;1067.22;0;8182
426;1002770;202;5;13/2/2015;4986.09;747.91;0;5734
427;1002771;36;3;13/2/2015;4317.39;647.61;0;4965
428;1002772;93;3;13/2/2015;4865.22;729.78;0;5595
429;1002773;202;5;13/2/2015;8269.57;1240.43;0;9510
430;1002774;202;5;13/2/2015;2330.43;349.57;0;2680
431;1002775;202;5;13/2/2015;6800;1020;0;7820
432;1002776;50;6;15/2/2015;3756.52;563.48;0;4320
433;1002777;91;6;15/2/2015;1920;288;0;2208
434;1002778;93;6;15/2/2015;25166.09;3774.91;0;28941
435;1002779;76;6;15/2/2015;5008.7;751.3;0;5760
436;1002780;243;6;15/2/2015;7500;1125;0;8625
437;1002781;189;6;15/2/2015;10768.7;1615.3;0;12384
438;1002782;93;6;15/2/2015;6208.7;931.3;0;7140
439;1002783;76;6;15/2/2015;897.39;134.61;0;1032
440;1002784;189;6;15/2/2015;1732.17;259.83;0;1992
441;1002785;94;3;15/2/2015;5482.61;822.39;0;6305
442;1002786;189;3;16/2/2015;16247.83;2437.17;0;18685
443;8892;91;3;16/2/2015;21874.78;0;0;0
444;8893;91;3;16/2/2015;1460.87;0;0;0
445;8894;91;3;16/2/2015;31576.52;0;0;0
446;8895;91;3;16/2/2015;900.87;0;0;0
447;1002787;220;5;16/2/2015;379.13;56.87;0;436
448;1002788;64;3;16/2/2015;11481.74;1722.26;0;13204
449;1002789;203;5;16/2/2015;10302.26;0;0;0
450;1002790;201;5;16/2/2015;7528.7;1129.3;0;8658
451;1002791;201;5;16/2/2015;1554.78;233.22;0;1788
452;1002792;203;5;16/2/2015;10729.57;1609.43;0;12339
453;1002793;202;5;17/2/2015;1346.09;201.91;0;1548
454;1002794;202;5;17/2/2015;226.09;33.91;0;260
455;1002795;202;5;17/2/2015;568.7;85.3;0;654
456;1002796;202;5;17/2/2015;1781.74;267.26;0;2049
457;1002797;234;5;17/2/2015;4090.43;613.57;0;4704
458;1002798;234;5;17/2/2015;400;60;0;460
459;1002799;244;5;17/2/2015;2173.91;326.09;0;2500
460;1002800;220;5;18/2/2015;9782.61;0;0;0
461;1002801;149;3;18/2/2015;6466.09;969.91;0;7436
462;1002802;148;3;18/2/2015;42403.48;6360.52;0;48764
463;1002803;148;3;18/2/2015;33337.39;5000.61;0;38338
464;1002804;148;3;18/2/2015;1033.04;154.96;0;1188
465;1002805;209;5;18/2/2015;819.13;122.87;0;942
466;1002806;163;3;19/2/2015;7142.61;1071.39;0;8214
467;1002807;151;3;19/2/2015;26786.96;4018.04;0;30805
468;1002808;39;3;19/2/2015;1716.52;257.48;0;1974
469;1002809;93;3;19/2/2015;5194.78;0;0;0
470;1002810;8;3;19/2/2015;6748.7;1012.3;0;7761
471;1002811;31;5;19/2/2015;697.39;104.61;0;802
472;1002812;204;5;19/2/2015;12269.57;1840.43;0;14110
473;1002813;194;5;19/2/2015;2807.83;421.17;0;3229
474;1002814;202;5;20/2/2015;10596.52;1589.48;0;12186
475;1002815;31;5;20/2/2015;382.61;57.39;0;440
476;1002816;204;5;20/2/2015;2168.7;325.3;0;2494
477;1002817;202;5;22/2/2015;3361.74;504.26;0;3866
478;1002818;202;5;22/2/2015;373.91;56.09;0;430
479;1002819;202;5;22/2/2015;2883.48;432.52;0;3316
480;1002820;202;5;22/2/2015;153.04;22.96;0;176
481;1002821;202;5;22/2/2015;4217.39;632.61;0;4850
482;1002822;28;3;22/2/2015;2008.7;301.3;0;2310
483;1002823;222;6;22/2/2015;38308.7;5746.3;0;44055
484;1002824;114;3;22/2/2015;10553.91;1583.09;0;12137
485;1002825;155;3;22/2/2015;7482.61;1122.39;0;8605
486;1002826;167;3;22/2/2015;21733.91;3260.09;0;24994
487;1002827;170;3;22/2/2015;29313.91;4397.09;0;33711
488;1002828;202;5;23/2/2015;1620.87;243.13;0;1864
489;1002829;202;5;23/2/2015;1565.22;234.78;0;1800
490;1002830;202;5;23/2/2015;1360;204;0;1564
491;1002831;202;5;23/2/2015;2300.87;345.13;0;2646
492;1002832;220;5;23/2/2015;17409.57;2611.43;0;20021
493;8896;30;5;23/2/2015;744.35;111.65;0;856
494;1002833;202;5;23/2/2015;5370.43;805.57;0;6176
495;1002834;202;5;23/2/2015;4946.09;741.91;0;5688
496;1002835;202;5;23/2/2015;1744.35;261.65;0;2006
497;1002836;203;5;23/2/2015;9733.04;1459.96;0;11193
498;1002837;201;5;23/2/2015;8402.61;1260.39;0;9663
499;1002838;194;5;23/2/2015;3758.26;563.74;0;4322
500;1002839;202;5;24/2/2015;2817.39;422.61;0;3240
501;1002840;204;5;24/2/2015;2121.74;318.26;0;2440
502;1002841;40;5;24/2/2015;1311.3;196.7;0;1508
503;1002842;202;5;24/2/2015;6011.3;901.7;0;6913
504;1002843;202;5;24/2/2015;434.78;65.22;0;500
505;1002844;202;5;24/2/2015;1020;153;0;1173
506;1002845;32;6;25/2/2015;1492.17;223.83;0;1716
507;8897;30;6;25/2/2015;4928.7;739.3;0;5668
508;8898;30;6;25/2/2015;1429.57;214.43;0;1644
509;1002846;28;6;25/2/2015;7777.39;0;0;0
510;1002847;29;5;25/2/2015;1801.74;0;0;0
511;1002848;32;6;25/2/2015;2834.78;425.22;0;3260
512;1002849;32;6;25/2/2015;17723.48;0;0;0
513;1002850;32;6;25/2/2015;17196.52;2579.48;0;19776
514;1002851;205;3;25/2/2015;4139.13;620.87;0;4760
515;1002852;135;3;26/2/2015;20445.22;3066.78;0;23512
516;1002853;126;3;26/2/2015;1426.09;213.91;0;1640
517;1002854;135;3;26/2/2015;382.61;57.39;0;440
518;8899;138;3;26/2/2015;3891.3;583.7;0;4475
519;1002855;202;5;26/2/2015;5960.87;894.13;0;6855
520;1002856;202;5;26/2/2015;5026.09;753.91;0;5780
521;1002857;201;5;26/2/2015;6776.52;1016.48;0;7793
522;1002858;31;5;27/2/2015;1130.43;169.57;0;1300
523;1002859;147;3;27/2/2015;18520.87;2778.13;0;21299
524;1002860;221;3;27/2/2015;4537.39;680.61;0;5218
525;1002861;212;5;27/2/2015;14187.83;2128.17;0;16316
526;1002862;212;5;27/2/2015;441.74;66.26;0;508
527;1002863;29;5;27/2/2015;1613.91;242.09;0;1856
528;1002864;51;6;27/2/2015;6156.52;923.48;0;7080
529;1002865;33;6;27/2/2015;7317.39;1097.61;0;8415
530;1002866;41;6;27/2/2015;11973.91;1796.09;0;13770
531;1002867;245;6;27/2/2015;9695.65;1454.35;0;11150
532;1002868;202;2;1/3/2015;5329.57;799.43;0;6129
533;1002869;202;2;1/3/2015;76.52;11.48;0;88
534;1002870;202;2;1/3/2015;1767.83;265.17;0;2033
535;1002871;222;3;1/3/2015;24908.7;3736.3;0;28645
536;1002872;31;5;1/3/2015;1725.22;258.78;0;1984
537;1002873;126;3;1/3/2015;44220.87;6633.13;0;50854
538;8900;142;3;1/3/2015;70875.65;10631.35;0;81507
539;1002874;130;3;1/3/2015;17058.26;2558.74;0;19617
540;1002875;222;3;1/3/2015;4000;600;0;4600
541;1002876;10;3;1/3/2015;6531.3;979.7;0;7511
542;1002877;198;6;2/3/2015;4643.48;696.52;0;5340
543;1002878;198;6;2/3/2015;8205.22;1230.78;0;9436
544;1002879;39;6;2/3/2015;9286.96;1393.04;0;10680
545;1002880;35;6;2/3/2015;813.91;122.09;0;936
546;1002881;35;6;2/3/2015;2296.52;344.48;0;2641
547;1002882;31;5;2/3/2015;1973.91;296.09;0;2270
548;1002883;31;5;2/3/2015;5154.78;773.22;0;5928
549;1002884;202;2;2/3/2015;10060;1509;0;11569
550;1002885;202;2;2/3/2015;3276.52;491.48;0;3768
551;1002886;41;6;2/3/2015;5008.7;751.3;0;5760
552;1002887;194;5;2/3/2015;14040;2106;0;16146
